BARID	REGION	DSID	USHAB1	USHAB2	PREPASS1	PREPASS2	NPROJ	COST	POSTPASS1	POSTPASS2
15201fs5	Umpqua	5ts5	0	0	0	0	1	75000	1	1
15209fs5	Umpqua	1ts5	0	0	0	0	1	75000	1	1
152ts2	Coos	NA	0.072237923	0.053340029	0	0	1	150000	1	1
153ts2	Coos	NA	0.029964034	0	0	0	1	600000	1	1
154ts2	Coos	NA	0.007833517	0.013551999	0	0	1	200000	1	1
155ts2	Coos	NA	0.006745921	0	0	0	1	60000	1	1
15621fs2	Coos	13743fs2	0	0	0	1	1	150000	1	1
15622fs2	Coos	NA	0	0	0	1	1	75000	1	1
15637fs1	Coquille	10Ats1	0	0	0	1	1	75000	1	1
156ts2	Coos	NA	0.012774916	0	0	0	1	85000	1	1
157ts2	Coos	NA	0.003539242	0.002921101	0	0	1	85000	1	1
158ts2	Coos	157ts2	0.005713967	0	0	0	0	0	1	1
15926fs2	Coos	8917fs2	0	0.056509161	0	0.400000006	1	300000	1	1
15938fs1	Coquille	12Dts1	0	0.134597991	0	1	0	75000	1	1
159ts2	Coos	NA	0	0	0	0	1	300000	1	1
15ts1	Coquille	NA	0.024545268	0.042667023	0	0	1	550000	1	1
15ts2	Coos	NA	0.043790263	0.190085184	0	0	1	450000	1	1
15ts5	Umpqua	NA	0.002893597	0	0	0	1	60000	1	1
16092fs1	Coquille	14ts1	0	0.000965259	0	1	1	75000	1	1
160ts2	Coos	NA	0.006098919	0	0	0	1	60000	1	1
16186fs5	Umpqua	5ts5	0	0	0	0	1	75000	1	1
161ts2	Coos	NA	0.110169223	0.178540218	0	0	1	300000	1	1
16385fs1	Coquille	61Bts1	0	0	0	0	1	75000	1	1
16894fs2	Coos	119ts2	0	0	0	1	1	75000	1	1
16ts1	Coquille	NA	0.010507376	0.041924216	0	0	1	390000	1	1
16ts2	Coos	NA	5.61E-06	0	0	0	1	60000	1	1
16ts5	Umpqua	NA	0.002441355	0	0	0	1	60000	1	1
17241fs2	Coos	120ts2	0	0	0	1	1	150000	1	1
17243fs2	Coos	8917fs2	0	0	0	0.100000001	1	150000	1	1
17584fs1	Coquille	10245fs1	0	0	0	1	1	75000	1	1
17ts1	Coquille	NA	0	0	0	0	0	0	1	1
17ts2	Coos	NA	0.009913427	0	0	0	1	150000	1	1
17ts5	Umpqua	NA	0.001342317	0	0	0	1	60000	1	1
18177fs2	Coos	29011fs2	0	0	0	0	0	0	1	1
18269fs2	Coos	29011fs2	0	0	0	0	0	0	1	1
18863fs2	Coos	3987fs2	0	0	0	0	0	0	1	1
18ts1	Coquille	NA	0.059000379	0.032410047	0	0	1	390000	1	1
18ts2	Coos	NA	0.005396834	0	0	0	1	60000	1	1
18ts5	Umpqua	NA	0.013791584	0	0	0	1	150000	1	1
19ts1	Coquille	NA	0.033891703	0.023021703	0	0	1	390000	1	1
19ts2	Coos	NA	0.003315187	0	0	0	1	150000	1	1
19ts5	Umpqua	NA	0.000220441	0	0	0	1	60000	1	1
1ts2	Coos	NA	0.073092877	0.031831516	0	0	1	85000	1	1
1ts5	Umpqua	NA	0.18534528	0.067569278	0	0	1	300000	1	1
20ts1	Coquille	NA	0.020697697	0	0	0	1	390000	1	1
20ts2	Coos	NA	0	0	0	0	0	0	1	1
20ts5	Umpqua	NA	0.025740365	0	0	0	1	150000	1	1
21ts1	Coquille	NA	0.044080047	0.01719809	0	0	0	0	1	1
21ts2	Coos	NA	0.018153077	0	0	0	1	200000	1	1
22ts1	Coquille	NA	0.037002309	0.054666471	0	0	1	390000	1	1
22ts2	Coos	NA	0.064049712	0.352072094	0	0.400000006	1	600000	1	1
23838fs2	Coos	106ts2	0	0	0	0	1	75000	1	1
23901fs1	Coquille	61Bts1	0	0	0	0	1	75000	1	1
23976fs2	Coos	3892fs2	0	0.085488958	0	0.100000001	1	300000	1	1
23ts1	Coquille	NA	0.054157501	0	0	0	1	390000	1	1
23ts2	Coos	NA	0	0	0	0	0	0	1	1
24501fs2	Coos	10151fs2	0	0.104709262	0	0	1	300000	1	1
24521fs2	Coos	138ts2	0	0	0	0.100000001	1	300000	1	1
24524fs2	Coos	23976fs2	0	0	0	0	1	150000	1	1
24527fs2	Coos	10151fs2	0	0	0	0	1	75000	1	1
24748fs2	Coos	8916fs2	0	0	0	0	1	150000	1	1
24ts1	Coquille	NA	0.011766231	0	0	0	1	390000	1	1
24ts2	Coos	22ts2	0.018123738	0.054763465	0	0	1	200000	1	1
25ts1	Coquille	NA	0.05135227	0.013181157	0	0	1	390000	1	1
25ts2	Coos	22ts2	0	0	0	0	0	0	1	1
26ts1	Coquille	NA	0	0	0	0	0	0	1	1
26ts2	Coos	NA	0.047414504	0.100071486	0	0	1	300000	1	1
2751fs2	Coos	6ts2	0	0	0	1	1	150000	1	1
27ts1	Coquille	NA	0	0	0	0	0	0	1	1
27ts2	Coos	NA	0.131435894	0.02078145	0	0	1	600000	1	1
28665fs2	Coos	44832fs2	0	0	0	0	0	0	1	1
28666fs2	Coos	28665fs2	0	0	0	0	0	0	1	1
28667fs2	Coos	52ts2	0	0	0	0.100000001	0	0	1	1
28668fs2	Coos	52ts2	0	0	0	0.400000006	0	0	1	1
28669fs2	Coos	52ts2	0	0	0	0.400000006	0	0	1	1
28670fs2	Coos	52ts2	0	0	0	0.400000006	0	0	1	1
28671fs2	Coos	52ts2	0	0	0	0.100000001	0	0	1	1
28ts1	Coquille	NA	0	0	0	0	0	0	1	1
28ts2	Coos	NA	0.0141479	0	0	0	1	60000	1	1
29009fs2	Coos	153ts2	0	0	0	0	1	300000	1	1
29010fs2	Coos	32951fs2	0	0	0	0	1	300000	1	1
29011fs2	Coos	90fs2	0	0	0	0	1	300000	1	1
29023fs2	Coos	32951fs2	0	0	0	0	1	150000	1	1
29413fs1	Coquille	17584fs1	0	0	0	1	1	75000	1	1
29464fs2	Coos	NA	0	0	0	0	1	75000	1	1
29ts1	Coquille	NA	0	0	0	0	0	0	1	1
29ts2	Coos	NA	0.023213483	0	0	0	1	60000	1	1
2ts2	Coos	NA	0.035821804	0.036941243	0	0	1	60000	1	1
2ts5	Umpqua	NA	0	0	0	0	0	85000	1	1
30ts1	Coquille	NA	0	0	0	0	0	0	1	1
30ts2	Coos	NA	0	0	0	0	0	0	1	1
31ts1	Coquille	NA	0.025091815	0	0	0	1	390000	1	1
31ts2	Coos	6ts2	0.012047074	0.030752079	0	0	1	60000	1	1
32733fs2	Coos	99ts2	0	0.003959755	0	0	0	0	1	1
32951fs2	Coos	29009fs2	0	0	0	1	0	0	1	1
32ts1	Coquille	NA	0.007286163	0	0	0	1	390000	1	1
32ts2	Coos	NA	0.002608157	0	0	0	1	85000	1	1
33ts1	Coquille	NA	0.007165368	0	0	0	1	390000	1	1
33ts2	Coos	NA	0	0	0	0	0	0	1	1
34990fs2	Coos	34991fs2	0	0.071622489	0	1	0	0	1	1
34991fs2	Coos	48ts2	0	0.068508021	0	1	0	0	1	1
34996fs2	Coos	22ts2	0	0	0	1	0	0	1	1
34ts1	Coquille	NA	0.098040564	0.05528969	0	0	1	390000	1	1
34ts2	Coos	NA	0.002581055	0	0	0	1	85000	1	1
35002fs2	Coos	99ts2	0	0.22976044	0	1	0	0	1	1
35752fs2	Coos	27ts2	0	0.149680708	0	1	0	0	1	1
35753fs2	Coos	48ts2	0	0	0	1	0	0	1	1
35ts1	Coquille	NA	0.060977386	0.530304183	0	0	1	815000	1	1
35ts2	Coos	159ts2	0.004897453	0.015249498	0	0	0	0	1	1
3641fs1	Coquille	61Bts1	0	0.066766296	0	1	1	75000	1	1
3642fs1	Coquille	61Bts1	0	0	0	1	1	75000	1	1
3643fs2	Coos	22ts2	0	0.001182094	0	1	1	150000	1	1
3646fs2	Coos	19ts2	0	0	0	1	1	150000	1	1
3647fs2	Coos	3648fs2	0	0	0	1	1	150000	1	1
3648fs2	Coos	21ts2	0	0	0	1	1	150000	1	1
36Ats1	Coquille	NA	0.313761766	0.18176117	0	0	1	390000	1	1
36ts2	Coos	NA	0.001223657	0	0	0	1	85000	1	1
3703fs1	Coquille	37ts1	0	0	0	1	1	75000	1	1
37ts1	Coquille	NA	0.006032879	0.229818688	0	0	1	815000	1	1
37ts2	Coos	45ts2	0.016427721	0	0	0	1	85000	1	1
38726fs2	Coos	3892fs2	0	0	0	1	0	0	1	1
38727fs2	Coos	3892fs2	0	0.128789105	0	0.400000006	0	0	1	1
3888fs2	Coos	NA	0	0	0	1	1	150000	1	1
3889fs2	Coos	38726fs2	0	0	0	0.100000001	1	75000	1	1
3892fs2	Coos	45ts2	0	0.095612631	0	1	1	300000	1	1
38ts1	Coquille	NA	0	0	0	0	0	0	1	1
38ts2	Coos	45ts2	0	0	0	0	0	0	1	1
3955fs2	Coos	8917fs2	0	0	0	0.100000001	0	0	1	1
3978fs1	Coquille	35ts1	0	0	0	1	0	75000	1	1
3987fs2	Coos	26ts2	0	0	0	0.100000001	0	0	1	1
3988fs2	Coos	26ts2	0	0	0	0.100000001	0	0	1	1
39ts2	Coos	45ts2	0.005538454	0	0	0	1	85000	1	1
3ts2	Coos	NA	0	0	0	0	0	0	1	1
3ts5	Umpqua	NA	0.010743385	0	0	0	1	85000	1	1
40043fs2	Coos	8917fs2	0	0	0	0.400000006	1	150000	1	1
40127fs2	Coos	15ts2	0	0	0	1	0	0	1	1
40ts1	Coquille	NA	0	0	0	0	0	0	1	1
40ts2	Coos	NA	0.001867283	0	0	0	1	60000	1	1
41375fs2	Coos	99ts2	0	0	0	0	1	75000	1	1
41376fs2	Coos	99ts2	0	0	0	0	1	75000	1	1
41377fs2	Coos	99ts2	0	0	0	0	1	75000	1	1
41409fs2	Coos	66ts2	0	0	0	1	1	150000	1	1
41410fs2	Coos	66ts2	0	0	0	0	1	75000	1	1
41ts1	Coquille	NA	0	0	0	0	0	0	1	1
41ts2	Coos	NA	0.002224907	0	0	0	1	85000	1	1
42ts1	Coquille	NA	0	0	0	0	0	0	1	1
42ts2	Coos	NA	0.05985394	0.002136379	0	0	1	200000	1	1
43ts1	Coquille	NA	0	0	0	0	0	0	1	1
43ts2	Coos	46ts2	0	0	0	0	0	0	1	1
4451fs2	Coos	48ts2	0	0	0	0.100000001	1	300000	1	1
44812fs2	Coos	22ts2	0	0	0	0.400000006	1	300000	1	1
44831fs2	Coos	34990fs2	0	0.011852433	0	0.100000001	0	0	1	1
44832fs2	Coos	44831fs2	0	0.07355291	0	0.100000001	0	0	1	1
44ts1	Coquille	NA	0	0	0	0	0	0	1	1
44ts2	Coos	46ts2	0	0	0	0	0	0	1	1
4506fs1	Coquille	61Bts1	0	0	0	0	1	75000	1	1
45ts1	Coquille	NA	0	0	0	0	0	0	1	1
45ts2	Coos	NA	0.065389211	0.166548054	0	0.800000012	1	1000000	1	1
46Ats1	Coquille	NA	0	0	0	0	0	0	1	1
46Bts1	Coquille	NA	0	0	0	0	0	0	1	1
46ts2	Coos	NA	0.095360462	0.461199147	0	0.800000012	1	1500000	1	1
47ts1	Coquille	NA	0	0	0	0	0	0	1	1
47ts2	Coos	3888fs2	0.004771423	0	0	0	1	150000	1	1
48ts1	Coquille	NA	0	0	0	0	0	0	1	1
48ts2	Coos	NA	0.20370943	0.277623108	0	0.400000006	1	1000000	1	1
49ts1	Coquille	NA	0	0	0	0	0	0	1	1
49ts2	Coos	48ts2	0.017264544	0	0	0	1	85000	1	1
4ts2	Coos	NA	0.001541186	0	0	0	1	60000	1	1
4ts5	Umpqua	NA	0	0	0	0	0	0	1	1
5008fs2	Coos	120ts2	0	0	0	0.400000006	1	300000	1	1
50ts1	Coquille	NA	0	0	0	0	0	0	1	1
50ts2	Coos	48ts2	0.014753395	0	0	0	1	85000	1	1
51ts1	Coquille	NA	0	0	0	0	0	0	1	1
51ts2	Coos	52ts2	0.036113636	0	0	0	1	150000	1	1
52ts1	Coquille	NA	0	0	0	0	0	0	1	1
52ts2	Coos	NA	0.236066288	0.540943521	0	0.400000006	1	1000000	1	1
53ts1	Coquille	NA	0	0	0	0	0	0	1	1
5473fs2	Coos	NA	0	0	0	0.100000001	1	150000	1	1
54ts1	Coquille	NA	0.020881043	0.033637995	0	0	1	390000	1	1
54ts2	Coos	52ts2	0.014702246	0	0	0	1	60000	1	1
5534fs2	Coos	24521fs2	0	0	0	0	0	0	1	1
55Ats1	Coquille	NA	0.005410689	0.064361211	0	0	1	390000	1	1
55Bts1	Coquille	NA	0.003841656	0	0	0	1	390000	1	1
55ts2	Coos	NA	0	0	0	0	0	0	1	1
5609fs2	Coos	15ts2	0	0	0	0	0	0	1	1
56ts1	Coquille	NA	0	0	0	0	0	0	1	1
56ts2	Coos	NA	0.006313378	0	0	0	1	85000	1	1
5777fs2	Coos	159ts2	0	0.108748319	0	1	1	300000	1	1
57ts1	Coquille	NA	0	0	0	0	0	0	1	1
57ts2	Coos	NA	0.071845575	0.30493271	0	0	1	450000	1	1
58ts1	Coquille	NA	0	0	0	0	0	0	1	1
58ts2	Coos	NA	0.015621439	0.046435648	0	0	1	150000	1	1
59ts1	Coquille	NA	0	0	0	0	0	0	1	1
59ts2	Coos	NA	0.003752485	0	0	0	1	85000	1	1
5ts2	Coos	NA	0.045972697	0	0	0	1	150000	1	1
5ts5	Umpqua	NA	0.015940308	0	0	0	1	200000	1	1
6058fs2	Coos	52ts2	0	0.089036686	0	0.100000001	0	0	1	1
60ts1	Coquille	NA	0	0	0	0	0	0	1	1
60ts2	Coos	NA	0.017353089	0.037423021	0	0	1	150000	1	1
61Bts1	Coquille	NA	0.284074444	0.681825577	0	0	1	815000	1	1
61ts2	Coos	121ts2	0.003495598	0	0	0	1	85000	1	1
62ts1	Coquille	NA	0	0	0	0	0	0	1	1
62ts2	Coos	NA	0	0	0	0	0	0	1	1
63ts1	Coquille	NA	0	0	0	0	0	0	1	1
63ts2	Coos	NA	0	0	0	0	0	0	1	1
64ts1	Coquille	NA	0	0	0	0	0	0	1	1
64ts2	Coos	NA	0	0	0	0	0	0	1	1
65ts1	Coquille	NA	0	0	0	0	0	0	1	1
65ts2	Coos	NA	0.003627618	0	0	0	1	85000	1	1
66ts1	Coquille	NA	0	0	0	0	0	0	1	1
66ts2	Coos	NA	0.027181227	0.061724513	0	0	1	450000	1	1
67ts1	Coquille	NA	0	0	0	0	0	0	1	1
67ts2	Coos	NA	0.000840815	0	0	0	1	85000	1	1
68ts1	Coquille	NA	0	0	0	0	0	0	1	1
68ts2	Coos	NA	0.014237683	0	0	0	1	60000	1	1
69ts1	Coquille	NA	0	0	0	0	0	0	1	1
69ts2	Coos	NA	0.004257033	0	0	0	1	60000	1	1
6ts2	Coos	NA	0.053804627	0.189729951	0	0.400000006	1	450000	1	1
6ts5	Umpqua	NA	6.34E-06	0	0	0	1	60000	1	1
70ts1	Coquille	NA	0	0	0	0	0	0	1	1
70ts2	Coos	71ts2	0	0	0	0	0	0	1	1
7100fs2	Coos	45ts2	0	0.060278602	0	0.100000001	1	300000	1	1
71ts1	Coquille	NA	0	0	0	0	0	0	1	1
71ts2	Coos	NA	0.008324793	0	0	0	1	85000	1	1
72ts1	Coquille	NA	0	0	0	0	0	0	1	1
72ts2	Coos	NA	0.006088754	0.012900084	0	0	1	60000	1	1
73ts1	Coquille	NA	0	0	0	0	0	0	1	1
73ts2	Coos	NA	0.022879575	0.013649368	0	0	1	85000	1	1
74ts1	Coquille	NA	0	0	0	0	0	0	1	1
74ts2	Coos	NA	0.016590026	0.017810313	0	0	1	60000	1	1
75ts1	Coquille	NA	0	0	0	0	0	0	1	1
75ts2	Coos	NA	0	0	0	0	0	0	1	1
76ts1	Coquille	NA	0	0	0	0	0	0	1	1
76ts2	Coos	NA	0.000947691	0	0	0	1	85000	1	1
77ts1	Coquille	NA	0	0	0	0	0	0	1	1
77ts2	Coos	NA	0.02194801	0.019275706	0	0	1	60000	1	1
78ts1	Coquille	NA	0	0	0	0	0	0	1	1
78ts2	Coos	NA	0	0	0	0	1	60000	1	1
7958fs1	Coquille	29413fs1	0	0	0	1	0	75000	1	1
79ts1	Coquille	NA	0	0	0	0	0	0	1	1
79ts2	Coos	NA	0.022720698	0.024738568	0	0	1	60000	1	1
7ts2	Coos	NA	0	0	0	0	0	0	1	1
7ts5	Umpqua	NA	0.010655737	0	0	0	1	60000	1	1
8057fs1	Coquille	23ts1	0	0	0	1	1	75000	1	1
80ts1	Coquille	NA	0	0	0	0	0	0	1	1
80ts2	Coos	NA	0.002514072	0	0	0	1	60000	1	1
81ts1	Coquille	NA	0	0	0	0	0	0	1	1
81ts2	Coos	NA	0	0	0	0	0	0	1	1
82ts1	Coquille	NA	0	0	0	0	0	0	1	1
82ts2	Coos	NA	0.079919641	0.090718756	0	0	1	150000	1	1
83ts1	Coquille	NA	0	0	0	0	0	0	1	1
83ts2	Coos	NA	0.007180172	0.02835801	0	0	1	85000	1	1
84ts1	Coquille	NA	0	0	0	0	0	0	1	1
84ts2	Coos	NA	0.03577134	0	0	0	1	85000	1	1
85ts1	Coquille	NA	0	0	0	0	0	0	1	1
85ts2	Coos	NA	0.008957865	0	0	0	1	85000	1	1
86ts1	Coquille	NA	0	0	0	0	0	0	1	1
86ts2	Coos	NA	0	0	0	0	0	0	1	1
87ts1	Coquille	NA	0	0	0	0	0	0	1	1
87ts2	Coos	NA	0	0	0	0	1	85000	1	1
88fs2	Coos	29009fs2	0	0	0	0.400000006	1	150000	1	1
88ts1	Coquille	NA	0	0	0	0	0	0	1	1
88ts2	Coos	NA	0	0	0	0	0	0	1	1
8916fs2	Coos	35752fs2	0	0.134594011	0	1	1	300000	1	1
8917fs2	Coos	66ts2	0	0.068712843	0	1	1	300000	1	1
8918fs2	Coos	66ts2	0	0	0	1	1	300000	1	1
89fs2	Coos	29009fs2	0	0	0	0.400000006	1	150000	1	1
89ts1	Coquille	NA	0	0	0	0	0	0	1	1
89ts2	Coos	NA	0.030805468	0	0	0	1	150000	1	1
8ts2	Coos	NA	0.018566404	0	0	0	1	60000	1	1
8ts5	Umpqua	NA	0.002299905	0	0	0	1	60000	1	1
900ts1	Coquille	NA	0.049184525	0	0	0	1	390000	1	1
9040fs1	Coquille	3703fs1	0	0	0	0	1	75000	1	1
90fs2	Coos	29010fs2	0	0	0	1	1	300000	1	1
90ts1	Coquille	NA	0	0	0	0	0	0	1	1
90ts2	Coos	NA	0	0	0	0	0	0	1	1
91ts1	Coquille	NA	0	0	0	0	0	0	1	1
91ts2	Coos	NA	0.030743521	0	0	0	1	60000	1	1
92ts1	Coquille	NA	0	0	0	0	0	0	1	1
92ts2	Coos	NA	0	0	0	0	0	0	1	1
93ts1	Coquille	NA	0	0	0	0	0	0	1	1
93ts2	Coos	NA	0.038239211	0	0	0	1	200000	1	1
94ts1	Coquille	NA	0	0	0	0	0	0	1	1
94ts2	Coos	NA	0	0	0	0	0	0	1	1
95ts1	Coquille	NA	0	0	0	0	0	0	1	1
95ts2	Coos	NA	0	0	0	0	0	0	1	1
96ts1	Coquille	NA	0	0	0	0	0	0	1	1
96ts2	Coos	NA	0.00872387	0	0	0	1	60000	1	1
97ts1	Coquille	NA	0	0	0	0	0	0	1	1
97ts2	Coos	NA	0.007113123	0.109406548	0	0	1	200000	1	1
9873fs2	Coos	99ts2	0	0	0	1	1	300000	1	1
98ts1	Coquille	NA	0	0	0	0	0	0	1	1
98ts2	Coos	NA	0.007083818	0.062100088	0	0	1	200000	1	1
99ts1	Coquille	NA	0	0	0	0	0	0	1	1
99ts2	Coos	NA	0.169437258	0.416124101	0	0.800000012	1	1000000	1	1
9ts1	Coquille	NA	0	0	0	0	0	0	1	1
9ts2	Coos	NA	0.024446971	0	0	0	1	85000	1	1
9ts5	Umpqua	NA	0.023072205	0	0	0	1	85000	1	1
